employee_id,employee_name,role_id,role_title,overall_score,band,skills_score,responsibilities_score,ambitions_score,dedication_score
1001,Jordi Casals,R-STR-LEAD,Head of Strategy,0.58,NEAR,1.0,0.2,0.2,0.0
1001,Jordi Casals,R-PM,Project Manager,0.6795,READY_WITH_SUPPORT,0.9091,0.5,0.0,1.0
1001,Jordi Casals,R-MTX-ARCH,Martech Architect,0.38,FAR,0.25,0.5,0.2,1.0
1001,Jordi Casals,R-DATA-ANL,Data Analyst,0.4409,NEAR,0.4318,0.5,0.0,1.0
1001,Jordi Casals,R-CRT-LEAD,Creative Director,0.155,NOT_VIABLE,0.25,0.0,0.2,0.0
1002,Marta Soler,R-STR-LEAD,Head of Strategy,0.4019,NEAR,0.6538,0.0,0.5,0.0
1002,Marta Soler,R-PM,Project Manager,0.6295,READY_WITH_SUPPORT,0.6591,0.5,0.5,1.0
1002,Marta Soler,R-MTX-ARCH,Martech Architect,0.425,NEAR,0.25,0.5,0.5,1.0
1002,Marta Soler,R-DATA-ANL,Data Analyst,0.4705,NEAR,0.3409,0.5,0.5,1.0
1002,Marta Soler,R-CRT-LEAD,Creative Director,0.2,FAR,0.25,0.0,0.5,0.0
1003,Pablo Reyes,R-PM,Project Manager,0.4409,NEAR,0.4318,0.5,0.0,1.0
1003,Pablo Reyes,R-MTX-ARCH,Martech Architect,0.755,READY,1.0,0.5,0.2,1.0
1003,Pablo Reyes,R-DATA-ANL,Data Analyst,0.6455,READY_WITH_SUPPORT,0.8409,0.5,0.0,1.0
1003,Pablo Reyes,R-STR-LEAD,Head of Strategy,0.155,NOT_VIABLE,0.25,0.0,0.2,0.0
1003,Pablo Reyes,R-CRT-LEAD,Creative Director,0.155,NOT_VIABLE,0.25,0.0,0.2,0.0
1004,Núria Aguilera,R-PM,Project Manager,0.4409,NEAR,0.4318,0.5,0.0,1.0
1004,Núria Aguilera,R-MTX-ARCH,Martech Architect,0.5583,NEAR,0.6667,0.5,0.0,1.0
1004,Núria Aguilera,R-DATA-ANL,Data Analyst,0.4409,NEAR,0.4318,0.5,0.0,1.0
1004,Núria Aguilera,R-STR-LEAD,Head of Strategy,0.125,NOT_VIABLE,0.25,0.0,0.0,0.0
1004,Núria Aguilera,R-CRT-LEAD,Creative Director,0.125,NOT_VIABLE,0.25,0.0,0.0,0.0
1005,Marc Serra,R-PM,Project Manager,0.5614,NEAR,0.5227,0.5,0.5,1.0
1005,Marc Serra,R-MTX-ARCH,Martech Architect,0.5083,NEAR,0.4167,0.5,0.5,1.0
1005,Marc Serra,R-DATA-ANL,Data Analyst,0.7545,READY,0.9091,0.5,0.5,1.0
1005,Marc Serra,R-STR-LEAD,Head of Strategy,0.2,FAR,0.25,0.0,0.5,0.0
1005,Marc Serra,R-CRT-LEAD,Creative Director,0.2,FAR,0.25,0.0,0.5,0.0
1006,Adrián López,R-CRT-LEAD,Creative Director,0.575,NEAR,1.0,0.0,0.5,0.0
1006,Adrián López,R-STR-LEAD,Head of Strategy,0.2,FAR,0.25,0.0,0.5,0.0
1006,Adrián López,R-PM,Project Manager,0.425,NEAR,0.25,0.5,0.5,1.0
1006,Adrián López,R-MTX-ARCH,Martech Architect,0.425,NEAR,0.25,0.5,0.5,1.0
1006,Adrián López,R-DATA-ANL,Data Analyst,0.425,NEAR,0.25,0.5,0.5,1.0
1007,Nerea Vidal,R-STR-LEAD,Head of Strategy,0.155,NOT_VIABLE,0.25,0.0,0.2,0.0
1007,Nerea Vidal,R-PM,Project Manager,0.35,FAR,0.25,0.5,0.0,1.0
1007,Nerea Vidal,R-MTX-ARCH,Martech Architect,0.38,FAR,0.25,0.5,0.2,1.0
1007,Nerea Vidal,R-DATA-ANL,Data Analyst,0.35,FAR,0.25,0.5,0.0,1.0
1007,Nerea Vidal,R-CRT-LEAD,Creative Director,0.2704,FAR,0.4808,0.0,0.2,0.0
1008,Sergio Martín,R-STR-LEAD,Head of Strategy,0.125,NOT_VIABLE,0.25,0.0,0.0,0.0
1008,Sergio Martín,R-PM,Project Manager,0.4409,NEAR,0.4318,0.5,0.0,1.0
1008,Sergio Martín,R-MTX-ARCH,Martech Architect,0.35,FAR,0.25,0.5,0.0,1.0
1008,Sergio Martín,R-DATA-ANL,Data Analyst,0.4409,NEAR,0.4318,0.5,0.0,1.0
1008,Sergio Martín,R-CRT-LEAD,Creative Director,0.125,NOT_VIABLE,0.25,0.0,0.0,0.0
1009,Laura Torres,R-STR-LEAD,Head of Strategy,0.2,FAR,0.25,0.0,0.5,0.0
1009,Laura Torres,R-PM,Project Manager,0.5159,NEAR,0.4318,0.5,0.5,1.0
1009,Laura Torres,R-MTX-ARCH,Martech Architect,0.425,NEAR,0.25,0.5,0.5,1.0
1009,Laura Torres,R-DATA-ANL,Data Analyst,0.5159,NEAR,0.4318,0.5,0.5,1.0
1009,Laura Torres,R-CRT-LEAD,Creative Director,0.2769,FAR,0.4038,0.0,0.5,0.0
1010,Claudia Riera,R-STR-LEAD,Head of Strategy,0.2,FAR,0.25,0.0,0.5,0.0
1010,Claudia Riera,R-PM,Project Manager,0.5159,NEAR,0.4318,0.5,0.5,1.0
1010,Claudia Riera,R-MTX-ARCH,Martech Architect,0.425,NEAR,0.25,0.5,0.5,1.0
1010,Claudia Riera,R-DATA-ANL,Data Analyst,0.5159,NEAR,0.4318,0.5,0.5,1.0
1010,Claudia Riera,R-CRT-LEAD,Creative Director,0.2769,FAR,0.4038,0.0,0.5,0.0
